"ID","workplace.belonging_1","workplace.belonging_2","workplace.belonging_3","workplace.belonging_4","workplace.belonging_5","workplace.belonging_6","biology.belonging_1","biology.belonging_2","biology.belonging_3","biology.belonging_4","biology.belonging_5","biology.belonging_6","climate_campus","climate_dept","climate_lab","climate_student","climate_teach","gender","race","lgbtq","lgbtq.discrim._1","lgbtq.discrim._2","lgbtq.discrim._3","lgbtq.discrim._4","lgbtq.climate_1","lgbtq.climate_2","lgbtq.climate_3","lgbtq.climate_4","lgbtq.climate_5","lgbtq.climate_6","lgbtq.climate2_1","lgbtq.climate2_2","lgbtq.climate2_3","lgbtq.climate2_4","lgbtq.climate2_5","lgbtq.climate2_6","lbtq.climate3_1","lbtq.climate3_2","lbtq.climate3_3","lbtq.climate3_4","lbtq.climate3_5","lbtq.climate3_6","lbtq.climate3_7","lbtq.climate3_8","outness_friends","outness_immediatefam","outness_extendedfam","outness_coworkers","outness_lab","outness_gradcourse","outness_undergrads","outness_broadly","personal_eb_work","personal_eb_outside","other_eb","workplace_sob_mean","biology_sob_mean","workplace_fom_mean","biology_fom_mean","lgbtq.discrim_mean","climate_inclusion_mean","climate_exclusion_mean","race2","gender2","lgbtq2","lgbq","tgnc","job2","region"
18,10,10,10,10,10,10,10,10,10,10,10,10,"comfortable","comfortable","comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,10,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
19,7,8,8,7,7,7,8,8,8,8,7,8,"comfortable","comfortable","very comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.66666666666667,8,7,7.66666666666667,NA,NA,NA,"white","woman","no",NA,NA,"faculty",NA
20,7,7,7,7,7,5,4,5,6,5,7,6,"comfortable","comfortable","comfortable",NA,NA,"Decline to state","Decline to state","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,5,6.33333333333333,6,NA,NA,NA,NA,"decline",NA,NA,NA,"faculty","westUS"
21,10,10,10,6,5,4,10,10,10,10,10,10,"neutral","very comfortable","very comfortable",NA,"uncomfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,5,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
22,9,10,9,10,10,10,5,5,8,8,5,0,"very comfortable","comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.33333333333333,6,10,4.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"faculty",NA
23,10,10,10,10,10,5,10,10,10,10,10,10,"neutral","comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,8.33333333333333,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
24,7,7,7,5,5,1,10,10,10,10,10,10,"comfortable","comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,10,3.66666666666667,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
25,10,10,10,10,10,10,9,9,9,10,10,10,"very comfortable","comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,9,10,10,NA,NA,NA,"white","woman","no",NA,NA,"postdoc","midwestUS"
26,8,7,8,8,9,9,10,10,10,10,10,10,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.66666666666667,10,8.66666666666667,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
27,3,5,5,3,3,0,7,7,7,5,5,5,"very uncomfortable","very uncomfortable","very uncomfortable",NA,"neutral","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4.33333333333333,7,2,5,NA,NA,NA,"white","woman","no",NA,NA,"faculty",NA
28,0,10,1,0,0,0,10,10,10,10,10,9,"uncomfortable","very uncomfortable","very comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",3.66666666666667,10,0,9.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
29,7,7,7,5,5,5,8,8,8,9,10,8,"comfortable","comfortable","very comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,8,5,9,NA,NA,NA,"white","woman","no",NA,NA,"faculty","midwestUS"
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decline to state","Decline to state","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"decline",NA,NA,NA,NA,NA
31,5,6,3,5,5,2,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4.66666666666667,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,10,10,10,10,10,10,7,7,7,7,7,5,"neutral","comfortable","comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,7,10,6.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"faculty","southwestUS"
33,1,2,2,2,0,0,5,5,10,10,10,10,"very uncomfortable","uncomfortable","very comfortable","neutral","very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",1.66666666666667,6.66666666666667,0.666666666666667,10,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
34,10,10,10,10,10,10,10,10,10,10,10,5,"very comfortable","very comfortable","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,10,8.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"staff","northeastUS"
35,2,2,3,1,6,3,0,1,0,0,3,2,"uncomfortable","very uncomfortable",NA,NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",2.33333333333333,0.333333333333333,3.33333333333333,1.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"industry","northeastUS"
36,2,2,2,3,2,2,4,5,6,8,10,10,"neutral","very uncomfortable","uncomfortable",NA,"comfortable","Decline to state","More than one race/ethnicity","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",2,5,2.33333333333333,9.33333333333333,NA,NA,NA,"other","decline",NA,NA,NA,"faculty","westUS"
37,9,10,10,9,10,7,10,10,10,10,10,10,"comfortable","very comfortable","very comfortable","very comfortable","very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.66666666666667,10,8.66666666666667,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
38,7,7,7,7,7,7,7,7,7,7,7,7,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,7,7,7,NA,NA,NA,"white","man","no",NA,NA,"faculty","northeastUS"
39,9,8,8,10,10,9,9,9,9,9,9,NA,"comfortable","very comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8.33333333333333,9,9.66666666666667,9,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
40,5,4,4,6,6,6,5,5,5,5,5,5,"comfortable","neutral","comfortable",NA,"neutral","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4.33333333333333,5,6,5,NA,NA,NA,"white","woman","no",NA,NA,"faculty","southeastUS"
41,5,5,5,5,5,5,10,10,10,10,10,10,"neutral","uncomfortable","very comfortable",NA,NA,"Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",5,10,5,10,NA,NA,NA,"asian","woman","no",NA,NA,"postdoc","northeastUS"
42,8,7,9,9,9,9,5,5,6,8,8,5,NA,"neutral","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,5.33333333333333,9,7,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
43,8,8,8,8,8,10,5,5,5,5,5,5,"very comfortable","very comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,5,8.66666666666667,5,NA,NA,NA,"white","woman","no",NA,NA,"staff","northeastUS"
44,1,1,1,1,1,1,5,5,5,5,5,8,"uncomfortable","very uncomfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",1,5,1,6,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
45,6,6,6,6,6,6,6,6,6,8,8,6,"comfortable","neutral","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6,6,6,7.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
46,10,10,10,9,10,8,9,8,8,10,10,10,"comfortable","comfortable","very comfortable",NA,NA,"Woman","White","Yes",3,3,5,3,3,4,4,4,3,2,4,4,4,2,5,4,4,2,4,4,3,3,2,4,"Out to most","Out to some","Out to a few","Out to most","Out",NA,"Not out",NA,"no","yes","no",10,8.33333333333333,9,10,3.5,3.5,3.375,"white","woman","yes","yes","yes","grad_student","westUS"
47,8,10,8,10,10,9,8,8,8,8,8,8,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8.66666666666667,8,9.66666666666667,8,NA,NA,NA,"asian","woman","no",NA,NA,"postdoc","westUS"
48,7,7,7,8,9,9,10,8,10,10,10,10,"very comfortable","very comfortable",NA,NA,"very comfortable","Man","American Indian or Alaska Native","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,9.33333333333333,8.66666666666667,10,NA,NA,NA,"other","man","no",NA,NA,"faculty","westUS"
49,8,8,8,9,10,9,8,9,8,7,8,8,"very comfortable","comfortable","very comfortable","neutral","neutral","Man","Asian","Yes",2,4,5,5,3,3,3,3,3,3,3,4,3,2,4,3,2,4,3,4,3,3,3,4,"","","","","","","","","no","decline","decline",8,8.33333333333333,9.33333333333333,7.66666666666667,4,3.33333333333333,2.875,"asian","man","yes",NA,NA,"faculty",NA
50,10,10,10,8,8,8,10,10,10,10,10,10,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,8,10,NA,NA,NA,"white","woman","no",NA,NA,"faculty","midwestUS"
51,10,10,10,8,9,8,8,8,7,8,9,5,"comfortable","very comfortable","very comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,7.66666666666667,8.33333333333333,7.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
52,10,10,10,10,10,10,10,10,10,10,10,10,"comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,10,10,NA,NA,NA,"white","woman","no",NA,NA,"faculty","southeastUS"
53,10,10,10,7,7,7,10,10,10,7,7,9,"comfortable","comfortable","comfortable",NA,NA,"Man","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,7,7.66666666666667,NA,NA,NA,"asian","man","no",NA,NA,"nonprofit","northeastUS"
54,10,10,10,10,10,8,7,7,7,8,9,9,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,7,9.33333333333333,8.66666666666667,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
55,6,7,7,10,7,8,10,9,10,10,10,10,"very comfortable","comfortable","neutral","very comfortable","very comfortable","Man","Hispanic, Latin*, or Spanish origin","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6.66666666666667,9.66666666666667,8.33333333333333,10,NA,NA,NA,"latinx","man","no",NA,NA,"grad_student","outsideUS"
56,10,10,10,10,10,10,10,10,10,10,10,5,"comfortable","very comfortable","comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,10,8.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"staff","northeastUS"
57,8,6,8,7,8,8,6,6,4,5,5,5,"very comfortable","very comfortable","very comfortable",NA,NA,"Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.33333333333333,5.33333333333333,7.66666666666667,5,NA,NA,NA,"asian","woman","no",NA,NA,"industry","outsideUS"
58,6,6,6,6,8,6,7,7,7,8,9,8,"comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6,7,6.66666666666667,8.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"faculty",NA
59,8,8,8,7,8,6,6,6,6,7,8,6,"comfortable","comfortable","very comfortable",NA,"comfortable","Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,6,7,7,NA,NA,NA,"asian","woman","no",NA,NA,"faculty","outsideUS"
60,9,10,9,9,9,9,8,8,8,8,8,8,"comfortable","comfortable","comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.33333333333333,8,9,8,NA,NA,NA,"white","woman","no",NA,NA,"faculty","southeastUS"
61,7,7,9,8,7,10,9,10,10,8,8,10,"comfortable","comfortable","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.66666666666667,9.66666666666667,8.33333333333333,8.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"faculty","westUS"
62,8,7,7,7,7,8,8,8,8,8,8,8,"neutral","neutral",NA,NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.33333333333333,8,7.33333333333333,8,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
63,10,10,10,10,10,10,10,10,10,10,10,10,"very comfortable","very comfortable","very comfortable","very comfortable","very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,10,10,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
64,7,6,6,6,6,5,7,7,7,7,7,7,"neutral","comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6.33333333333333,7,5.66666666666667,7,NA,NA,NA,"white","woman","no",NA,NA,"postdoc","midwestUS"
65,0,0,0,0,0,0,8,8,10,8,8,6,"uncomfortable","very uncomfortable","very comfortable",NA,"very comfortable","Man","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",0,8.66666666666667,0,7.33333333333333,NA,NA,NA,"asian","man","no",NA,NA,"faculty","midwestUS"
