"ID","Progress","Finished","society.membership","subdiscipline","subdiscipline_28_TEXT","climate_campus","climate_dept","climate_lab","climate_teach","climate_student","climate.open","gender","gender_10_TEXT","race","race_7_TEXT","lgbtq","sexuality.specific","sexuality.specific_12_TEXT","gender.specific","gender.specific_4_TEXT","college.gen","college.gen_8_TEXT","disability","disability.specific","disability.specific_7_TEXT","job","job_10_TEXT","institution.type","country.reside","residence","immigration","lgbtq.climate_1","lgbtq.climate_2","lgbtq.climate_3","lgbtq.climate_4","lgbtq.climate_5","lgbtq.climate_6","lgbtq.climate2_1","lgbtq.climate2_2","lgbtq.climate2_3","lgbtq.climate2_4","lgbtq.climate2_5","lgbtq.climate2_6","lbtq.climate3_1","lbtq.climate3_2","lbtq.climate3_3","lbtq.climate3_4","lbtq.climate3_5","lbtq.climate3_6","lbtq.climate3_7","lbtq.climate3_8","outness_friends","outness_immediatefam","outness_extendedfam","outness_coworkers","outness_lab","outness_gradcourse","outness_undergrads","outness_broadly","personal_eb_work","other_eb","personal_eb_outside","society_included_lgbtq_open","workplace_included_lgbtq_open","workplace_sob_mean","biology_sob_mean","ascb_sob_mean","bps_sob_mean","gsa_sob_mean","isscr_sob_mean","saber_sob_mean","workplace_fom_mean","biology_fom_mean","ascb_fom_mean","bps_fom_mean","gsa_fom_mean","isscr_fom_mean","saber_fom_mean","lgbtq.discrim_mean","climate_inclusion_mean","climate_exclusion_mean","race2","gender2","gender3","lgbtq2","lgbq","tgnc","job2","region","gender4","genderbin","tgnc_all"
11,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Bioinformatics,Cell biology,Genetics,Molecular biology,Molecular genetics,Physiology","","comfortable","very comfortable","very comfortable","comfortable",NA,"","Man","","White","","No","","","","","Bachelor’s degree (for example: BA, BS)","","No","","","An associate professor","","R2 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",8,8,8,NA,NA,NA,NA,6,9,9,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","midwestUS","cisman","cisman","no"
12,100,"True","American Society of Cell Biology (ASCB),Genetics Society of America (GSA)","Biochemistry,Cell biology,Developmental biology,Embryology,Genetics,Molecular biology,Molecular genetics","","uncomfortable","comfortable","comfortable","comfortable",NA,"My University needs to work harder--the pushback from our Republican-controlled legislature is very strong right now and I'd like to see more leadership at the top","Man","","White","","No","","","","","High school diploma or GED","","No","","","A full professor","","R1 doctoral university","United States of America","Southeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,10,10,NA,10,NA,NA,9.33333333333333,8.33333333333333,10,NA,9.33333333333333,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","southeastUS","cisman","cisman","no"
13,100,"True","American Society of Cell Biology (ASCB)","Cell biology,Developmental biology,Molecular biology","","very comfortable","very comfortable","very comfortable",NA,NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","Yes","Learning disability (e.g. dyslexia),Mental health and/or psychological disability (e.g. bipolar disorder, depression)","","Other, please describe","adminstrator","Master's college or university","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",9.66666666666667,9,5.66666666666667,NA,NA,NA,NA,9,9,7.66666666666667,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"other","northeastUS","cisman","cisman","no"
14,100,"True","American Society of Cell Biology (ASCB),Biophysical Society (BPS)","Biochemistry,Biophysics,Cell biology,Molecular biology","","very uncomfortable","uncomfortable","very comfortable","very uncomfortable",NA,"Institue - Due to recent laws, guns will be allowed on campus and in the classrooms. There was almost no pushback from the campus administration on this topic. It will most likely cause me to leave my institution and, potentially, academia. 
Department - My department chair has created a hostile work environment for me. ","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","Yes","Hearing loss","","An assistant professor","","R1 doctoral university","United States of America","Northeastern US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",6,7.66666666666667,10,7,NA,NA,NA,4.33333333333333,7,10,7.66666666666667,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","northeastUS","cisman","cisman","no"
15,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Immunology,Microbiology,Molecular biology","","comfortable","comfortable","comfortable",NA,NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","Employed in a government position","","I do not work at an academic institution","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",8,8,5,NA,NA,NA,NA,6.66666666666667,8,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"government","northeastUS","cisman","cisman","no"
16,100,"True","American Society of Cell Biology (ASCB)","Cell biology,Immunology","","comfortable","uncomfortable","neutral","very comfortable",NA,"","Woman","","White","","No","","","","","High school diploma or GED","","No","","","An assistant professor","","R1 doctoral university","United States of America","Northeastern US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",4.66666666666667,8,7.66666666666667,NA,NA,NA,NA,5.33333333333333,8,8.66666666666667,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","northeastUS","ciswoman","ciswoman","no"
17,100,"True","American Society of Cell Biology (ASCB)","Cell biology","","uncomfortable","uncomfortable","very comfortable",NA,NA,"Recent legislation in my area has made the sense of belonging with regards to diversity, etc. very tenuous.","Woman","","White","","Yes","Bisexual","","Cis-gender or I do not identify within the LGBTQ+ community as it relates to my gender identity","","Bachelor’s degree (for example: BA, BS)","","Decline to state","","","A postdoctoral scholar","","R1 doctoral university","United States of America","Southwestern US","Yes",4,4,4,3,4,4,4,2,3,3,4,4,4,2,2,1,3,2,4,3,"Not out","Out to a few","Not out","Out to a few","Not out","Not out","Not out","Not out","decline","no","decline","","",7,8,8,NA,NA,NA,NA,6,5.33333333333333,8.66666666666667,NA,NA,NA,NA,5.25,3.33333333333333,3,"white","woman","woman","yes","yes","no","postdoc","southwestUS","ciswoman","ciswoman","no"
18,100,"True","American Society of Cell Biology (ASCB),Genetics Society of America (GSA)","Cell biology,Genetics,Neuroscience","","comfortable","comfortable","comfortable","comfortable",NA,"","Man","","White","","No","","","","","Associate degree (for example: AA, AS)","","No","","","A full professor","","R1 doctoral university","United Kingdom of Great Britain and Northern Ireland","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,10,4,NA,7,NA,NA,10,10,5.66666666666667,NA,9,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","outsideUS","cisman","cisman","no"
19,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Developmental biology,Molecular biology,Neuroscience","","comfortable","comfortable","very comfortable","comfortable",NA,"","Woman","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7.66666666666667,8,10,NA,NA,NA,NA,7,7.66666666666667,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty",NA,"ciswoman","ciswoman","no"
20,100,"True","American Society of Cell Biology (ASCB)","Cell biology","","comfortable","comfortable","comfortable",NA,NA,"","Decline to state","","Decline to state","","Decline to state","","","","","High school diploma or GED","","Decline to state","","","An associate professor","","R1 doctoral university","United States of America","Western US","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7,5,5,NA,NA,NA,NA,6.33333333333333,6,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"decline",NA,NA,NA,NA,"faculty","westUS",NA,NA,NA
21,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Bioinformatics,Cell biology,Genetics,Immunology,Microbiology,Molecular biology,Molecular genetics,Parasitology,Pathology","","neutral","very comfortable","very comfortable","uncomfortable",NA,"I am an old male teaching a large class of 80% females who are less than a third my age.  I feel out of place and disconnected from them.  I simply do not understand their priorities about things, or their learning styles.","Man","","White","","No","","","","","High school diploma or GED","","No","","","A full professor","","R1 doctoral university","United States of America","Southeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,10,6.66666666666667,NA,NA,NA,NA,5,10,9,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","southeastUS","cisman","cisman","no"
22,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Microbiology","","very comfortable","comfortable","very comfortable","very comfortable",NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","I do not work at an academic institution","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",9.33333333333333,6,3.33333333333333,NA,NA,NA,NA,10,4.33333333333333,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty",NA,"cisman","cisman","no"
23,100,"True","American Society of Cell Biology (ASCB)","Biophysics,Cell biology,Molecular biology,Physiology","","neutral","comfortable","very comfortable","very comfortable",NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","United States of America","Midwestern US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,10,10,NA,NA,NA,NA,8.33333333333333,10,10,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","midwestUS","cisman","cisman","no"
24,100,"True","American Society of Cell Biology (ASCB),Genetics Society of America (GSA)","Biochemistry,Cell biology,Genetics,Microbiology,Molecular biology,Molecular genetics,Mycology,Systems biology,Other, please describe","Chemistry","comfortable","comfortable","very comfortable","very comfortable",NA,"Too complex to answer with a few words.","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7,10,9.66666666666667,NA,9,NA,NA,3.66666666666667,10,8.66666666666667,NA,10,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","midwestUS","cisman","cisman","no"
25,100,"True","American Society of Cell Biology (ASCB)","Cell biology,Developmental biology,Physiology","","very comfortable","comfortable","very comfortable",NA,NA,"I work in an inclusive, engaging, and supportive lab and department, and the research community at my institution is quite strong. It is a comfortable campus to be a part of, and I enjoy working here. There are a number of opportunities to connect with other researchers and the campus has a strong sense of identity and communal belonging. ","Woman","","White","","No","","","","","Bachelor’s degree (for example: BA, BS)","","No","","","A postdoctoral scholar","","R1 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,9,6,NA,NA,NA,NA,10,10,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"postdoc","midwestUS","ciswoman","ciswoman","no"
26,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Neuroscience","","very comfortable","very comfortable","very comfortable","very comfortable",NA,"","Man","","White","","No","","","","","Master’s degree (for example: MA, MS, MEd, MSW, MBA)","","No","","","A full professor","","R1 doctoral university","Italy","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7.66666666666667,10,8.66666666666667,NA,NA,NA,NA,8.66666666666667,10,9,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","outsideUS","cisman","cisman","no"
27,100,"True","American Society of Cell Biology (ASCB)","Cell biology","","very uncomfortable","very uncomfortable","very uncomfortable","neutral",NA,"There is a lack of connectedness - very little interaction out of forced environments.  People work from home a lot.  Students choose employed work instead of lab studies.","Woman","","White","","No","","","","","Associate degree (for example: AA, AS)","","No","","","A full professor","","Master's college or university","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",4.33333333333333,7,6,NA,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty",NA,"ciswoman","ciswoman","no"
28,100,"True","American Society of Cell Biology (ASCB),Genetics Society of America (GSA)","Cell biology,Other, please describe","Synthetic Biology","uncomfortable","very uncomfortable","very comfortable","comfortable",NA,"","Man","","White","","No","","","","","Master’s degree (for example: MA, MS, MEd, MSW, MBA)","","No","","","An associate professor","","R1 doctoral university","United States of America","Southeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",3.66666666666667,10,4,NA,10,NA,NA,0,9.66666666666667,4.33333333333333,NA,8.33333333333333,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","southeastUS","cisman","cisman","no"
29,100,"True","American Society of Cell Biology (ASCB)","Cell biology","","comfortable","comfortable","very comfortable","comfortable",NA,"","Woman","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","An associate professor","","R1 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7,8,7,NA,NA,NA,NA,5,9,10,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","midwestUS","ciswoman","ciswoman","no"
30,100,"True","American Society of Cell Biology (ASCB)","Anatomy,Cell biology","",NA,NA,NA,NA,NA,"","Decline to state","","Decline to state","","Decline to state","","","","","Decline to state","","Decline to state","","","Decline to state","","Decline to state","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decline",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,100,"True","American Society of Cell Biology (ASCB),Society for the Advancement of Biology Education Research (SABER)","I do not identify as working within a sub-discipline of biology","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",4.66666666666667,NA,10,NA,NA,NA,7,4,NA,10,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,100,"True","American Society of Cell Biology (ASCB)","Cell biology,Molecular biology","","neutral","comfortable","comfortable",NA,NA,"We need more action.","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","I do not work at an academic institution","United States of America","Southwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,7,10,NA,NA,NA,NA,10,6.33333333333333,10,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","southwestUS","cisman","cisman","no"
33,100,"True","American Society of Cell Biology (ASCB),Biophysical Society (BPS)","Biochemistry,Cell biology","","very uncomfortable","uncomfortable","very comfortable","very comfortable","neutral","","Woman","","White","","No","","","","","Some college but no degree","","Yes","Decline to state","","An assistant professor","","Master's college or university","United States of America","Northeastern US","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",1.66666666666667,6.66666666666667,6.33333333333333,4.33333333333333,NA,NA,NA,0.666666666666667,10,10,7.66666666666667,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","northeastUS","ciswoman","ciswoman","no"
34,100,"True","American Society of Cell Biology (ASCB),Biophysical Society (BPS)","Biochemistry,Biophysics","","very comfortable","very comfortable","very comfortable",NA,NA,"This place has a culture of openness and collaboration.  It is not strongly hierarchical.","Man","","White","","No","","","","","Bachelor’s degree (for example: BA, BS)","","No","","","A non-tenure track faculty member or research staff","","R1 doctoral university","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,10,7,7,NA,NA,NA,10,8.33333333333333,6.33333333333333,6.33333333333333,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"staff","northeastUS","cisman","cisman","no"
35,100,"True","American Society of Cell Biology (ASCB)","Molecular biology","","uncomfortable","very uncomfortable",NA,NA,NA,"Those directly responsible for my workload and pay do not understand what I do or how important it is.","Man","","White","","No","","","","","Bachelor’s degree (for example: BA, BS)","","No","","","Employed in an industry position","","I do not work at an academic institution","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",2.33333333333333,0.333333333333333,3.33333333333333,NA,NA,NA,NA,3.33333333333333,1.66666666666667,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"industry","northeastUS","cisman","cisman","no"
36,100,"True","American Society of Cell Biology (ASCB)","Other, please describe","Dental basic sciences ","neutral","very uncomfortable","uncomfortable","comfortable",NA,"Teaching is fine, biological research isn’t understood or encouraged by clinical administration ","Decline to state","","More than one race/ethnicity","","Decline to state","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","An associate professor","","R2 doctoral university","United States of America","Western US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",2,5,4.33333333333333,NA,NA,NA,NA,2.33333333333333,9.33333333333333,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,"other","decline",NA,NA,NA,NA,"faculty","westUS",NA,NA,NA
